token,rating,date,version,used_count
very,5,2020-07-06,8.8,3
very,5,2018-12-25,,1
very,5,2018-12-25,6.6,1
very,5,2020-04-02,8.7,3
very,5,2020-04-02,,1
very,5,2020-04-23,8.7,3
very,5,2019-04-21,,1
very,5,2019-04-21,7.4,1
very,5,2020-06-01,,1
very,5,2020-06-01,8.8,1
very,5,2020-04-06,8.7,5
very,5,2019-09-28,7.91,2
very,5,2020-04-21,,1
very,5,2020-04-21,,1
very,5,2020-04-21,8.7,1
very,5,2019-10-01,7.91,1
very,5,2019-01-07,,1
very,5,2019-01-07,,1
very,5,2019-01-07,6.6,1
very,5,2019-05-05,,2
very,5,2019-05-05,,1
very,5,2019-05-05,7.4,2
very,5,2019-10-14,8.0,1
very,5,2020-06-06,8.8,3
very,5,2020-06-06,,1
very,5,2020-08-31,9.0,2
very,5,2020-08-31,,1
very,5,2020-08-31,,1
very,5,2019-10-25,8.0,6
very,5,2020-04-01,8.2,1
very,5,2020-04-01,8.7,3
very,5,2020-04-01,,1
very,5,2020-07-16,8.8,2
very,5,2019-12-30,8.2,3
very,5,2020-09-05,,1
very,5,2020-09-05,9.0,2
very,5,2020-09-20,,1
very,5,2020-09-20,,1
very,5,2020-09-20,9.0,3
very,5,2020-09-20,,1
very,5,2018-12-19,6.6,1
very,5,2019-12-05,8.2,2
very,5,2020-07-20,8.8,7
very,5,2020-08-24,8.8,5
very,5,2020-09-03,9.0,2
very,5,2019-11-30,8.2,3
very,5,2020-08-12,8.8,4
very,5,2020-06-30,8.8,2
very,5,2020-06-30,,2
very,5,2020-05-14,8.8,2
very,5,2020-08-11,,1
very,5,2019-11-19,8.0,9
very,5,2020-03-23,8.2,3
very,5,2020-03-23,,1
very,5,2020-03-23,,1
very,5,2020-03-23,,1
very,5,2020-08-02,,1
very,5,2020-08-02,8.8,3
very,5,2020-09-12,9.0,2
very,5,2020-09-12,,1
very,5,2019-06-23,7.6,3
very,5,2020-01-15,8.2,2
very,5,2019-04-19,7.4,1
very,5,2020-03-03,8.2,4
very,5,2019-11-29,8.2,1
very,5,2020-06-19,8.8,2
very,5,2019-06-02,7.5,1
very,5,2019-11-28,8.2,4
very,5,2020-05-24,8.8,1
very,5,2020-05-24,,1
very,5,2020-01-19,8.2,3
very,5,2020-11-10,9.2,1
very,5,2020-11-10,,1
